D,E,A
0.938016845933799,0.32659934973827154,0.7297208126318852
0.45884138070926805,0.5360012699792955,0.2907718986545845
0.7919691598005075,0.5585116992505323,0.32084578626652893
0.6981619037848503,0.4038071769067306,0.36488290501271226
0.9019190276053896,0.090673224619786,0.20502689930275686
0.7326347931785465,0.6690351026504677,0.6478526171415159
0.570213408242227,0.6536213324247497,0.6177243858965125
0.22909639475810106,0.2451107072580817,0.5517126832587824
0.924234439002834,0.9663315163227412,0.7938534561479534
0.985074690917047,0.5204090764241689,0.41451250623275304
